year,popularity,duration_sec,artist_popularity,years_since_release,explicit,is_urbano_latino,is_lanzamiento_reciente,is_artista_top,genero_electronica,genero_flamenco_raices,genero_internacional,genero_otros,genero_pop_espanol,genero_rock_indie,genero_unknown,genero_urbano_latino,temporada_invierno,temporada_otono,temporada_primavera,temporada_sin_fecha,temporada_verano
2014,-2.0678578444995175,-0.8304186385314716,-1.6888434314689316,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2014,0.5298984375502752,0.4825167150894848,0.3979964708154106,-0.20923034147038305,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2014,0.581853563191271,1.8197552725224166,0.4593741150002442,-0.20923034147038305,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2014,-0.0416079445006792,0.9314169384173081,-0.2771576152177589,-0.20923034147038305,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2014,-1.184620708602588,0.4769665870559653,-1.4433328547295972,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2014,-0.9248450803976087,-0.13655483472862387,-1.2591999221750965,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2014,-0.7689797034746212,-0.32000245867353944,-0.46129054777225964,-0.20923034147038305,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2014,-0.19747332142366678,0.23310325222635192,-1.32057756635993,-0.20923034147038305,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2014,-1.4963514624485632,0.1640078256945205,-0.706801124511594,-0.20923034147038305,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2014,-0.45724894962864604,0.7472113674722202,-1.013689345435762,-0.20923034147038305,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2014,-1.4443963368075672,0.17151394598654862,-0.5226681919570932,-0.20923034147038305,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2014,-1.184620708602588,-0.8213721743358672,-0.9523117012509285,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2014,-1.4963514624485632,-0.26599262243545935,-1.4433328547295972,-0.20923034147038305,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2014,0.4259881862682835,0.6774557935531416,0.4593741150002442,-0.20923034147038305,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2014,-0.6650694521926295,3.7330335500862577,-0.8909340570660949,-0.20923034147038305,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2014,-0.4052938239876502,0.8072114300019843,-0.5226681919570932,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2014,-1.8080822162945382,0.8720770232747905,-0.9523117012509285,-0.20923034147038305,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2014,-0.6131143265516336,0.33417915218480654,-1.0750669896205955,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2014,-0.30138357270565846,-0.0367992295446629,-0.706801124511594,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2014,-0.9248450803976087,0.5224189571630692,-0.5226681919570932,-0.20923034147038305,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2014,-0.820934829115617,1.9442786296797483,-1.8729763640234323,-0.20923034147038305,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2014,-0.8728899547566129,1.3536912171261766,-0.8295564128812613,-0.20923034147038305,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2014,-0.3533386983466543,-0.4952838149391804,0.7048846917395786,-0.20923034147038305,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2014,-1.1326655829615921,-0.6803206825941351,0.15248589407607627,-0.20923034147038305,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2014,-1.860037341935534,0.8551332403354557,-1.4433328547295972,-0.20923034147038305,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2014,0.9455394426782421,0.6605120106138068,0.8276399801092458,-0.20923034147038305,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
